Soru,Cevap
Kütüphane saat kaça kadar açık ?,"Kütüphanemiz hafta içleri saat 08:00 – 21:00 aralığında, hafta sonları 09:00 – 16:30 saatleri aralığında açıktır. Sınav zamanı kütüphaneler 24 saat açıktır."
Kütüphane 24 saat açık mı?,"Kütüphanemiz hafta içleri saat 08:00 – 21:00 aralığında, hafta sonları 09:00 – 16:30 saatleri aralığında açıktır. Sınav zamanı kütüphaneler 24 saat açıktır."
Kütüphane ne zamana kadar açık ?,"Kütüphanemiz hafta içleri saat 08:00 – 21:00 aralığında, hafta sonları 09:00 – 16:30 saatleri aralığında açıktır. Sınav zamanı kütüphaneler 24 saat açıktır."
Kütüphanede hangi kitaplar var?,http://libra.omu.edu.tr/ adresi üzerinden kitap sorgulaması yapıp aradığınız kitapların yerlerini öğrenebilirsiniz.
Kütüphanede aradığım kitabı kolayca nasıl bulabilirim?,http://libra.omu.edu.tr/ adresi üzerinden kitap sorgulaması yapıp aradığınız kitapların yerlerini öğrenebilirsiniz.
Üniversitenin kütüphanesi her bölümün faydalanabileceği ölçüde yeterli midir ?,http://libra.omu.edu.tr/ adresi üzerinden kitap sorgulaması yapıp kütüphanenin kitap yeterliliği hakkında bilgi sahibi olabilirsiniz.
Fakültelerde ecza dolabı bulunuyor mu?,Fakültelerimizde ecza dolapları bulunmaktadır.
Bana kütüphaneden bir kitap tavsiyesi verebilir misin?,"Kütüphanemizdeki bütün kitaplar özenle seçilmiştir. Bütün kitapları okuyabilirsiniz. Yine de Yabancı(L'Étranger), Körlük (Blindness), Küçük Prens(Le Petit Prince) sıkça önerilen kitaplar arasındadır."
Kampüsten son tramvay kaçta geçiyor,Samulaş'ın sitesindeki bilgilere göre hafta içi son tramvay 23:45 de kalkmaktadır.
Farklı fakülte öğrencileriyle vakit geçirebileceğim yerler nerelerdir?,Kampüsümüzde bir adet yaşam merkezi bulunmaktadır. Burada tüm fakültelerden öğrenciler toplanır. Eğer yaşam merkezine uğrarsanız farklı fakülteden insanlar ile vakit geçirebilirsiniz.
Öğrenci yemekhanesinin ücreti ne kadar?,Üniversitemizdeki öğrenciler için güncel yemekhane ücreti 20 TL'dir.
Yemekhanede bir öğün kaç lira?,Üniversitemizdeki öğrenciler için güncel yemekhane ücreti 20 TL'dir.
Yemekhanede kaç öğün yemek çıkıyor?,Üniversitemizdeki yemekhanelerde öğlen ve akşam olmak üzere 2 öğün yemek çıkmaktadır.
Yemekhane ürün çeşitliliği ne kadar?,Yemekhanelerimizde her öğün için 4 çeşit yemek çıkmaktadır.
Hazırlık sınavını geçme notu nedir?,Hazırlık muafiyet sınavında geçme notu üniversite genelinde de olduğu gibi 60 puan olarak belirlenmiştir.
Derslerde devam zorunluluğu var mı,Üniversitemizde %70 derslere devam zorunluluğu bulunmaktadır.
Okulda devam zorunluluğu var mı?,Üniversitemizde %70 derslere devam zorunluluğu bulunmaktadır.
Devamsızlık ne kadar?,Üniversitemizde %70 derslere devam zorunluluğu bulunmaktadır.
Okulda teknopark bulunuyor mu?,Üniversitemizde 1 adet teknopark bulunmaktadır. Detaylı bilgi için https://www.samsunteknopark.com/ adresini ziyaret edebilirsiniz.
Faaliyet gösteren kulüpler neler?,"Universitemizde ders dışı zamanlarını yararlı bir şekilde geçirmeleri amacı ile kültür, sanat, spor, düşünce ve kariyer alanlarında faaliyetlerde bulunmak üzere kurulmuş 78 öğrenci topluluğu bulunmaktadır. Bu toplulukları incelemek için https://www.omu.edu.tr/tr/ogrenci/ogrenci-topluluklari adresini ziyaret edebilirsiniz."
Üniversite kulüpleri var mı?,"Universitemizde ders dışı zamanlarını yararlı bir şekilde geçirmeleri amacı ile kültür, sanat, spor, düşünce ve kariyer alanlarında faaliyetlerde bulunmak üzere kurulmuş 78 öğrenci topluluğu bulunmaktadır. Bu toplulukları incelemek için https://www.omu.edu.tr/tr/ogrenci/ogrenci-topluluklari adresini ziyaret edebilirsiniz."
Hangi kulüp ve öğrenci organizasyonlarına katılmalıyım?,"Universitemizde ders dışı zamanlarını yararlı bir şekilde geçirmeleri amacı ile kültür, sanat, spor, düşünce ve kariyer alanlarında faaliyetlerde bulunmak üzere kurulmuş 78 öğrenci topluluğu bulunmaktadır. Bu toplulukları incelemek için https://www.omu.edu.tr/tr/ogrenci/ogrenci-topluluklari adresini ziyaret edebilirsiniz."
Üniversitenin kulüpleri hakkında bilgi alabilir miyim?,"Universitemizde ders dışı zamanlarını yararlı bir şekilde geçirmeleri amacı ile kültür, sanat, spor, düşünce ve kariyer alanlarında faaliyetlerde bulunmak üzere kurulmuş 78 öğrenci topluluğu bulunmaktadır. Bu toplulukları incelemek için https://www.omu.edu.tr/tr/ogrenci/ogrenci-topluluklari adresini ziyaret edebilirsiniz."
Üniversitede En popüler kulüpler hangileri ?,"https://topluluk.omu.edu.tr/ Sitesindeki bilgilere göre en popüler topluluğun 791 kişinin bulunduğu Dağcılık ve Kış Sporları Arama Kurtarma Topluluğu, en popüler 2. topluluğun ise 724 öğrencinin bulunduğu Yabancı Diller Topluluğu olarak gözükmektedir."
Okulumuzda kulüplerine girmek için ne yapmalıyım?,Üniversitemizde kulüp temsilcileri bulunmaktadır. Bu temsilcilere ulaşarak veya düzenli olarak açılan standtları takip ederek kulüplere katılabilirsiniz.
Okulumuzda kaç bölüm bulunmaktadır?,Üniversitemizde 19 fakültede toplam 86 bölüm bulunmaktadır.
Öğrenci kartı nereden alınır,Kaydınız tamamlandıktan sonra bölüm genel sekreterliğinden öğrenci kartınızı alabilirsiniz.
Öğrenci kartını kaybettim ne yapmalıyım ?,Belli bir ücret karşılığında üniversitenin öğrenci işlerinden yeni bir kart çıkartabilirsiniz.
Seçmeli derslere nerden bakabilirim,Sosyal seçmeli dersler hakkında detalı bilgi için https://oidb.omu.edu.tr/tr/haberler/sosyal-secmeli-dersler-birim-ve-derslik-bilgileri adresini ziyaret edeilirsiniz.
Bir dönemde kaç seçmeli ders alabilirim?,Seçmeli dersler sosyal seçmeli ve teknik seçmeli dersler olarak ayrılmaktadır. Sosyal seçmeli olarak yalnızca bir ders alınabilirken teknik seçmeli dersler bölümler arasında farklılık göstermektedir.
Ders seçimlerini nereden ve nasıl yapacağım?,Ders kayıt işlemleri https://ubys.omu.edu.tr/ adresi üzerinden yapılmaktadır. Sorun yaşadığnız taktirde danışman hocanızdan yardım alabilirsiniz.
Ders kayıtları nereden yapılıyor?,Ders kayıt işlemleri https://ubys.omu.edu.tr/ adresi üzerinden yapılmaktadır. Sorun yaşadığnız taktirde danışman hocanızdan yardım alabilirsiniz.
Ders nasıl seçilir?,Ders kayıt işlemleri https://ubys.omu.edu.tr/ adresi üzerinden yapılmaktadır. Sorun yaşadığnız taktirde danışman hocanızdan yardım alabilirsiniz.
Ders seçim ekranında derslerimi göremiyorum ne yapmam lazım?,"Ders planlarınıza bağlı olarak derslerinizin sistemde gözükmemesi dersin kaldırılmış olması, kodunun değişmiş olması, dersin açılmamış veya eksik açılmış olması nedeniyle olabilir. Bu durumda danışmanınızla irtibata geçiniz. Fakat sorun çözülmeden ders kaydınızı tamamlamayınız"
Ders seçimi sırasında dersler önüme gelmiyor.,"Ders planlarınıza bağlı olarak derslerinizin sistemde gözükmemesi dersin kaldırılmış olması, kodunun değişmiş olması, dersin açılmamış veya eksik açılmış olması nedeniyle olabilir. Bu durumda danışmanınızla irtibata geçiniz. Fakat sorun çözülmeden ders kaydınızı tamamlamayınız"
Ders seçiminde derslerim sistemde gözükmüyor.,"Ders planlarınıza bağlı olarak derslerinizin sistemde gözükmemesi dersin kaldırılmış olması, kodunun değişmiş olması, dersin açılmamış veya eksik açılmış olması nedeniyle olabilir. Bu durumda danışmanınızla irtibata geçiniz. Fakat sorun çözülmeden ders kaydınızı tamamlamayınız"
Ders seçme ekranında alacağım dersler çıkmıyor ne yapmam gerekiyor?,"Ders planlarınıza bağlı olarak derslerinizin sistemde gözükmemesi dersin kaldırılmış olması, kodunun değişmiş olması, dersin açılmamış veya eksik açılmış olması nedeniyle olabilir. Bu durumda danışmanınızla irtibata geçiniz. Fakat sorun çözülmeden ders kaydınızı tamamlamayınız"
Ders kayıt aşamasında en çok hangi hususlara dikkat etmem gerekir?,"Ders kaydında üç önemli hususa dikkat etmeniz gerekir. Eksik ders alarak dönem uzatmamak için her dönem başında müfredat durum kontrolü, akademik takvimde belirtilen süre içinde kaydın tamamlanması ve danışman onayı işlemidir."
Derslere kayıt olurken nelere göre kaydolmam lazım?,"Ders kaydında üç önemli hususa dikkat etmeniz gerekir. Eksik ders alarak dönem uzatmamak için her dönem başında müfredat durum kontrolü, akademik takvimde belirtilen süre içinde kaydın tamamlanması ve danışman onayı işlemidir."
Danışman onay bittikten sonra yapmam gereken bir şey var mı?,"Danışman onayı işlemi tamamlandıktan sonra, kayıtlanmış olduğunuz dersleri tek tek kontrol ediniz. Sizin danışman onayına göndermiş olduğunuz derslerden bir veya birkaçı danışmanınız tarafından listeden çıkartılmış olabilir."
"Seçtiğim dersleri danışmana gönderdim, onaylandı. Şimdi ne yapmalıyım?","Danışman onayı işlemi tamamlandıktan sonra, kayıtlanmış olduğunuz dersleri tek tek kontrol ediniz. Sizin danışman onayına göndermiş olduğunuz derslerden bir veya birkaçı danışmanınız tarafından listeden çıkartılmış olabilir."
Geçtiğim dersi not yükseltmek için tekrar alabilir miyim,Hayır alamazsınız. Ondokuz Mayıs Üniversitesi not yükseltmek için ders tekrarına izin vermemektedir.
Sınav sonuçlarına nasıl itiraz edebilirim?,Akademik takvimde belirtilen sınav not girişlerinin sisteme girilmesinin son gününden itibaren beş iş günü içerisinde ilgili birime (Bölüm Başkanlığına ) dilekçe vererek itiraz edebilirsiniz.
Ne zamana kadar sınav sonuçlarına itiraz edebilirim?,Akademik takvimde belirtilen sınav not girişlerinin sisteme girilmesinin son gününden itibaren beş iş günü içerisinde ilgili birime (Bölüm Başkanlığına ) dilekçe vererek itiraz edebilirsiniz.
Stajlarda bütünleme sınav hakkı var mıdır?,Üniversitemizde stajlar için bütünleme sınav hakkı yoktur. Başarısız olunan stajın tekrar alınması gerekir.
Staj için bütünleme sınavı var mı?,Üniversitemizde stajlar için bütünleme sınav hakkı yoktur. Başarısız olunan stajın tekrar alınması gerekir.
Ara sınavlarda mazeret sınavı yapılıyor mu?,"Fakülte, yüksekokul ve meslek yüksekokullarında, ara sınavlardan herhangi birine haklı ve geçerli nedenlerle katılamayan öğrenciler için ara sınavlardan genellikle 1-2 hafta sonra mazeret sınavı yapılmaktadır."
Mazeret sınavı var mı?,"Fakülte, yüksekokul ve meslek yüksekokullarında, ara sınavlardan herhangi birine haklı ve geçerli nedenlerle katılamayan öğrenciler için ara sınavlardan genellikle 1-2 hafta sonra mazeret sınavı yapılmaktadır."
Mazeret sınavı ne zaman yapılıyor?,"Fakülte, yüksekokul ve meslek yüksekokullarında, ara sınavlardan herhangi birine haklı ve geçerli nedenlerle katılamayan öğrenciler için ara sınavlardan genellikle 1-2 hafta sonra mazeret sınavı yapılmaktadır."
Yarıyıl sonu / Bütünleme sınavlarının mazeret sınav hakkı var mı?,Üniversitemizde yıl sonu ve bütünleme sınavlarının mazeret sınavı yoktur.
Finallerin mazeret sınavı var mı ?,Üniversitemizde yıl sonu ve bütünleme sınavlarının mazeret sınavı yoktur.
Bütünleme için mazeret sınavı var mı ?,Üniversitemizde yıl sonu ve bütünleme sınavlarının mazeret sınavı yoktur.
Mazeret sınavına nasıl girebilirim ?,"Öğrenciler, mazeretlerine ilişkin isteklerini, mazeretin bitiminden bir hafta içerisinde ilgili Dekanlık/Müdürlüklere dilekçe ile bildirmelidir."
Mazeret sınavına girmek için almış olduğum sağlık raporunu kaç gün içinde nereye vermem gerekir?,"Öğrenciler, mazeretlerine ilişkin isteklerini, mazeretin bitiminden bir hafta içerisinde ilgili Dekanlık/Müdürlüklere dilekçe ile bildirmelidir."
Ara sınav ve yarıyıl sonu sınavları ortalama hangi oranlarda etki eder?,"Üniversitemizde ders geçme sisteminin uygulandığı birimlerde, bir dersin başarı puanı dönem içi değerlendirme puanının % 40’ı ile yarıyıl sonu veya bütünleme sınavından alınan puanın % 60’ı, Diş Hekimliği Fakültesinde dönem içi değerlendirme puanının % 50’si ile yılsonu veya bütünleme sınav puanının %50’sinin toplamıdır. Başarılı olmak için bu toplamın 60 puan ve üzerinde olması gerekmektedir."
Dersin başarı puanı neye göre belli olur?,"Üniversitemizde ders geçme sisteminin uygulandığı birimlerde, bir dersin başarı puanı dönem içi değerlendirme puanının % 40’ı ile yarıyıl sonu veya bütünleme sınavından alınan puanın % 60’ı, Diş Hekimliği Fakültesinde dönem içi değerlendirme puanının % 50’si ile yılsonu veya bütünleme sınav puanının %50’sinin toplamıdır. Başarılı olmak için bu toplamın 60 puan ve üzerinde olması gerekmektedir."
Yarıyıl/yılsonu başarı notumun en az kaç olması gerekir?,"Bir dersten başarılı sayılabilmek için; yarıyıl/yılsonu veya bütünleme sınav puanının en az 50, başarı puanının en az 60 olması zorunludur. Uzaktan eğitim öğrencilerinin başarı puanı dönem içi sınavının % 20’si ile yıl sonu sınavı puanının veya bütünleme sınavının %80’inin toplamıdır."
Derslerde nasıl başarılı sayılıyoruz ?,"Bir dersten başarılı sayılabilmek için; yarıyıl/yılsonu veya bütünleme sınav puanının en az 50, başarı puanının en az 60 olması zorunludur. Uzaktan eğitim öğrencilerinin başarı puanı dönem içi sınavının % 20’si ile yıl sonu sınavı puanının veya bütünleme sınavının %80’inin toplamıdır."
Dersi geçmek için finallerden kaç almam lazım,"Bir dersten başarılı sayılabilmek için; yarıyıl/yılsonu veya bütünleme sınav puanının en az 50, başarı puanının en az 60 olması zorunludur. Uzaktan eğitim öğrencilerinin başarı puanı dönem içi sınavının % 20’si ile yıl sonu sınavı puanının veya bütünleme sınavının %80’inin toplamıdır."
Dersleri nasıl başarılı bir şekilde geçebiliriz?,"Bir dersten başarılı sayılabilmek için; yarıyıl/yılsonu veya bütünleme sınav puanının en az 50, başarı puanının en az 60 olması zorunludur. Uzaktan eğitim öğrencilerinin başarı puanı dönem içi sınavının % 20’si ile yıl sonu sınavı puanının veya bütünleme sınavının %80’inin toplamıdır."
